device_id,chipset,cpu,gpu,screen_size_inch,refresh_rate_hz,display_type,resolution_width,resolution_height,main_camera_mp,main_camera_aperture,has_ois,optical_zoom_x,battery_mah,charging_w,weight_g,thickness_mm,has_5g
xiaomi_redmi_a7_pro_14463,Unisoc T7250 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6.9,120,"IPS LCD, 120Hz, 800 nits (HBM)",720,1600,13,2.2,0,0.0,6000,15,208.0,8.2,0
xiaomi_poco_f9_ultra_5g_14876,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,6.9,60,"AMOLED, 68B colors, 185Hz, Dolby Vision, HDR10+, 850 nits (typ), 2200 nits (HBM), 4500 nits (peak)",1200,2608,200,1.7,1,5.0,8050,100,235.0,8.7,1
xiaomi_redmi_note_17_5g_14846,Qualcomm SM4450-AF Snapdragon 4 Gen 4 (4 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,6.99,120,"AMOLED, 120Hz, 700 nits (typ), 1200 nits (HBM), 1800 nits (peak)",1080,2396,50,1.8,0,0.0,7700,45,225.0,8.5,1
xiaomi_redmi_note_15_5g__global__14328,Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,6.77,120,"AMOLED, 68B colors, 120Hz, 3840Hz PWM, HDR10+, 800 nits (typ), 3200 nits (peak)",1080,2392,108,1.7,1,0.0,5520,45,178.0,7.4,1
xiaomi_redmi_note_17_pro_5g_14844,Qualcomm SM6435-AA Snapdragon 6s Gen 4 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,6.83,120,"AMOLED, 68B colors, 120Hz, 3840Hz PWM, 1060 nits (typ), 1800 nits (HBM), 3500 nits (peak)",1280,2772,50,1.8,1,0.0,8340,67,223.0,8.6,1
xiaomi_redmi_note_17_pro_max_5g_14845,Qualcomm SM6850 Snapdragon 6 Gen 5 (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Adreno 812,6.83,120,"AMOLED, 68B colors, 120Hz, 3840Hz PWM, HDR10+, Dolby Vision, 1060 nits (typ), 2000 nits (HBM), 3500 nits (peak)",1280,2772,50,1.5,1,0.0,9210,100,229.5,8.6,1
xiaomi_17t_5g_14652,Mediatek Dimensity 8500 Ultra (4 nm),Octa-core (1x3.4 GHz Cortex-A725 & 3x3.2 GHz Cortex-A725 & 4x2.2 GHz Cortex-A725),Mali-G720 MC8,6.59,120,"AMOLED, 68B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, 3500 nits (peak)",1268,2756,50,1.7,1,5.0,6500,67,200.0,8.2,1
xiaomi_17t_pro_5g_14651,Mediatek Dimensity 9500 (3 nm),Octa-core (1x4.21 GHz C1-Ultra & 3x3.5 GHz C1-Premium & 4x2.7 GHz C1-Pro),Mali-G1 Ultra MC12,6.83,144,"AMOLED, 68B colors, 144Hz, 3840Hz PWM, Dolby Vision, HDR10+, 600 nits (typ), 2000 nits (HBM), 3500 nits (peak)",1280,2772,50,1.7,1,5.0,7000,100,219.0,8.3,1
xiaomi_redmi_15_5g_14036,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 619,6.9,144,"IPS LCD, 144Hz, 600 nits (typ), 700 nits (HBM), 850 nits (peak)",1080,2340,50,1.8,0,0.0,7000,33,217.0,8.4,1
xiaomi_17_ultra_5g_14380,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,6.9,120,"LTPO AMOLED, 68B colors, 120Hz, 2160Hz PWM, Dolby Vision, HDR10+, 3500 nits (peak)",1200,2608,50,1.7,1,3.0,6000,90,218.4,8.3,1
